station_code,latitude,longitude,elevation,network_code
MA01,-20.5874,139.6215,323.0,7X
MA11,-19.035,138.7867,131.0,7X
MA12,-18.8585,139.3427,104.0,7X
MA13,-18.7786,139.872,52.0,7X
MA14,-18.7259,140.3837,52.0,7X
MA21,-19.5585,138.8232,209.0,7X
MA22,-19.4985,139.3762,222.0,7X
MA23,-19.3301,139.8825,80.0,7X
MA24,-19.2177,140.3343,77.0,7X
MA31,-19.959,138.7794,308.0,7X
MA32,-19.9014,139.3505,271.0,7X
MA33,-19.8278,139.944,163.0,7X
MA34,-19.7149,140.3226,126.0,7X
MA41,-20.5162,138.8323,288.0,7X
MA42,-20.3856,139.3104,388.0,7X
MA43,-20.3385,139.8113,278.0,7X
MA44,-20.2064,140.3468,167.0,7X
MA51,-21.0857,138.7876,238.0,7X
MA52,-20.9573,139.3954,411.0,7X
MA53,-20.7962,139.8169,390.0,7X
MA54,-20.6982,140.4047,215.0,7X
MA62,-21.356,139.2527,313.0,7X
MA63,-21.3088,139.8809,364.0,7X
MA64,-21.1958,140.3605,295.0,7X
MA65,-21.1336,140.8525,236.0,7X
MB11,-18.6462,140.8949,155.0,7X
MB12,-18.5367,141.3564,40.0,7X
MB13,-18.4669,141.9,71.0,7X
MB21,-19.1513,140.8842,59.0,7X
MB22,-19.0656,141.3206,58.0,7X
MB23,-18.9505,141.8511,92.0,7X
MB24,-18.8946,142.4643,160.0,7X
MB31,-19.627,140.8692,78.0,7X
MB32,-19.564,141.3544,73.0,7X
MB33,-19.3572,141.9646,125.0,7X
MB34,-19.4449,142.4773,200.0,7X
MB41,-20.1082,140.859,118.0,7X
MB42,-20.0754,141.4108,99.0,7X
MB43,-20.0136,141.9433,133.0,7X
MB44,-19.9004,142.4848,198.0,7X
MB51,-20.6493,140.9055,144.0,7X
MB52,-20.5795,141.4167,119.0,7X
MB53,-20.4782,141.9607,145.0,7X
MB54,-20.4056,142.4846,169.0,7X
MB62,-21.0395,141.4303,152.0,7X
MB63,-20.9343,141.95,159.0,7X
MB64,-20.9077,142.4972,152.0,7X
MIJ1,-20.5619,141.6179,121.0,7X
MIJ2,-20.5369,141.7451,121.0,7X
MIJ3,-20.549,141.8707,143.0,7X
MIL2,-19.9507,140.8739,106.0,7X
MIL3,-19.9079,140.9372,104.0,7X
MIL4,-19.8955,141.0151,92.0,7X
MIL5,-19.8382,141.1039,89.0,7X
MIL6,-19.7921,141.18,85.0,7X
MIL7,-19.7364,141.2428,85.0,7X
MJL5,-19.8382,141.1039,89.0,7X
